Time,Amplitude
2.9,-Infinity
3,-46.39569
3.1,-35.93269
3.2,-39.29993
3.3,-36.16661
3.4,-36.86942
3.5,-33.14218
3.6,-37.67496
3.7,-31.77772
3.8,-32.14163
3.9,-32.93173
4,-33.42447
4.1,-34.53448
4.2,-30.32833
4.3,-33.6189
4.4,-29.68661
4.5,-30.91644
4.6,-31.33126
4.7,-29.92616
4.8,-33.27469
4.9,-33.93185
5,-31.42451
5.1,-31.60211
5.2,-31.62008
5.3,-35.68949
5.4,-32.51957
5.5,-31.21565
5.6,-33.70994
5.7,-33.68457
5.8,-33.47039
5.9,-35.27134
6,-30.81134
6.1,-31.55883
6.2,-34.4279
6.3,-31.29719
6.4,-32.51757
6.5,-33.36265
6.6,-32.8013
6.7,-33.67204
6.8,-27.88459
6.9,-29.88321
7,-32.44073
7.1,-31.17876
7.2,-33.00574
7.3,-34.66199
7.4,-32.31315
7.5,-31.70202
7.6,-33.45536
7.7,-31.64411
7.8,-33.93885
7.9,-34.58717
8,-31.31504
8.1,-31.11925
8.2,-33.94441
8.3,-34.10937
8.400001,-34.41451
8.5,-33.61782
8.6,-36.66873
8.7,-28.80726
8.8,-32.97907
8.900001,-30.95024
9,-34.88577
9.1,-30.64587
9.2,-32.53685
9.3,-35.08237
9.400001,-32.99817
9.5,-35.03168
9.6,-29.60165
9.7,-28.79444
9.8,-31.89388
9.900001,-35.43699
10,-30.36147
10.1,-34.60694
10.2,-31.51013
10.3,-30.16452
10.4,-31.19422
10.5,-32.34181
10.6,-31.07054
10.7,-29.98238
10.8,-33.28705
10.9,-34.75645
11,-29.84215
11.1,-32.65852
11.2,-33.42545
11.3,-28.20562
11.4,-28.68293
11.5,-33.4257
11.6,-30.11071
11.7,-30.56184
11.8,-33.01231
11.9,-29.00191
12,-31.26955
12.1,-32.12895
12.2,-33.86828
12.3,-27.84244
12.4,-31.54369
12.5,-30.30382
12.6,-32.23745
12.7,-31.73252
12.8,-32.56603
12.9,-32.16341
13,-26.1251
13.1,-31.10982
13.2,-27.63584
13.3,-33.56358
13.4,-31.49953
13.5,-30.16867
13.6,-27.90852
13.7,-31.50564
13.8,-30.05154
13.9,-27.10356
14,-29.63592
14.1,-27.04865
14.2,-27.17561
14.3,-26.10519
14.4,-27.20322
14.5,-25.78861
14.6,-27.76854
14.7,-27.44125
14.8,-25.4679
14.9,-25.29873
15,-28.54097
15.1,-30.1333
15.2,-28.18851
15.3,-29.90087
15.4,-29.10295
15.5,-29.67696
15.6,-28.39124
15.7,-29.01775
15.8,-31.22451
15.9,-29.21226
16,-30.20291
16.1,-28.35922
16.2,-28.06113
16.3,-29.73908
16.4,-34.31736
16.5,-31.28276
16.6,-32.7532
16.7,-35.26673
16.8,-35.11773
16.9,-31.69694
17,-36.33561
17.1,-31.629
17.2,-33.29477
17.3,-35.74008
17.4,-36.21057
17.5,-32.70216
17.6,-36.74443
17.7,-35.61923
17.8,-35.51766
17.9,-35.05486
18,-35.75098
18.1,-34.09103
18.2,-33.02037
18.3,-34.68071
18.4,-36.42771
18.5,-35.89592
18.6,-34.53825
18.7,-35.81287
18.8,-36.94437
18.9,-36.93319
19,-32.43865
19.1,-36.06527
19.2,-37.67278
19.3,-37.3487
19.4,-35.36255
19.5,-34.29439
19.6,-31.70248
19.7,-34.82128
19.8,-38.11112
19.9,-35.3015
20,-30.29946
20.1,-36.73252
20.2,-34.56581
20.3,-30.06762
20.4,-30.20139
20.5,-30.90209
20.6,-30.57651
20.7,-28.52626
20.8,-29.72575
20.9,-28.13426
21,-26.98832
21.1,-28.90076
21.2,-28.56706
21.3,-28.41169
21.4,-27.87867
21.5,-28.12916
21.6,-31.31466
21.7,-29.28224
21.8,-32.16652
21.9,-32.57041
22,-31.2994
22.1,-30.35525
22.2,-29.74123
22.3,-30.46791
22.4,-30.13613
22.5,-32.89815
22.6,-32.43319
22.7,-31.95937
22.8,-30.38639
22.9,-30.42053
23,-31.48108
23.1,-30.99593
23.2,-34.48025
23.3,-32.6185
23.4,-30.41907
23.5,-34.93612
23.6,-32.57011
23.7,-32.77327
23.8,-30.90342
23.9,-32.63188
24,-31.56498
24.1,-30.96463
24.2,-27.59327
